,Project Name,Title Length,Project Source,Project Type,Project Plant Year,Project Built Year,Project Country,Project Latitude,Project Longitude,Project Function,Project Description,Project Lessons,Project Link,Project Retail Rate,Project Consumption,Project PVaPC,Project Form,Project Size,Project Cost,System Type,System Building Element,System Inverter,System Cost,System Cost Intensity,System Efficiency Comprimise,System Rating,System Coverage,System Specific Yield,System Generation Measured,System Generation Simulated,System Agreement,System Agreement Rate,System Rebate,Array Orientation(s),Array Surface(s),Array Tilt(s),Array Mount(s),Module Type(s),Module Cell Type(s),Module Construction,Module Products,Module Sizes(s),Module Transparency,Module Transparency Type,Module Uniques,Module Cost,Fake Modules?,Data Source(s),Image Name,Economic FIT,Economic DR,Economic Price Change,Resolution,Manual Inspection,Keep,Note,Simple System Building Element,System Type Clean,Map Symbols,Map Symbols2,Project Function Clean,Array Orientation(s) Clean,Map Sizes,System Generation,Map Colors
51,Tokyo Inst. of Technology,25.0,BIPV SG,New Build,2012,2012,,35.605122,139.6835297,Institutional,The Greater Tokyo Area in Japan is home to the largest institution for higher education in Japan which is dedicated to science and technology and its known to be one of the most prestigious universities in Japan.,,,,,,,,,,Facade,,,,,650.0,0,0,0.0,0.0,,,,Unknown,,,,Mixed,Mixed,,,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Institutional,Unknown,22,0.0,#c2cb7e
52,Tracuit Hut,11.0,Swiss BIPV Competence Center,New Build,2012,2012,Switzerland,46.1303273,7.6793799,Hut,Unknown,,,,,,,,,,Cold Facade,,,,,11.0,89,1236.363636,0.0,13600.0,,,,South,Paneled BIPV Facade,80,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Civic,180,10,13600.0,#c2cb7e
53,Umwelt Arena Schweiz,20.0,IEA Case Studies,New Build,2012,2012,Switzerland,47.424482,8.367064,Stadium,Unknown,,https://www.archdaily.com/285637/umwelt-arena-rene-schmid-architekten,,24,,,11000.0,,Integrated,,standard,,,,737.0,5334,732.7001357,0.0,540000.0,,,,360,roof,varies,,Crystalline,Mono,,3S Megaslate 160 Wp,variety,0,,1644,,No,,placeholder,,,,,,,,Unknown,Integrated,circle,circle,Stadium,360,22,540000.0,#c2cb7e
54,Väla Gård,9.0,IEA Case Studies,New Build,2012,2012,Sweden,56.085852,12.74227,Office,Unknown,,https://www.rehva.eu/rehva-journal/chapter/vaela-gaard-a-net-zero-office-building-in-sweden,0.173,41.45694992,228,,1777.0,,Integrated,,standard,,,,70.0,450,952.5428571,66678.0,0.0,,,46.0,225,,45,standard,Crystalline,Mono,,,1623x986,0,,1,,No,,placeholder,0.02,1.8,0.001,,,,,Unknown,Integrated,circle,circle,Office,225,14,66678.0,#c2cb7e
55,Wohnhaus in Einsiedeln,22.0,Swiss BIPV Competence Center,New Build,2012,2012,Switzerland,47.124311,8.7448795,Multi Family Residential,Unknown,,,,,,,,,,Cold Facade,,,,,,0,0,0.0,0.0,,,,South,Paneled BIPV Facade,90,,Thin Film,a-Si,,Solar Protect ASI 103,,0,,,,,,placeholder,,,,,,,Numbers are reported in conjunction with a BAPV roof at a total of 93.25kWp yielding 84000kWh/year across 720m2 (roof) and 362m2 (facade),Facade,Unknown,triangle-right,square,Multi Residential,180,8,0.0,#c2cb7e
56,Bungalow in Genböch,19.0,Swiss BIPV Competence Center,New Build,2011,2011,Austria,48.195024,14.251536,Single Family Residential,Unknown,,https://www.genboeck.at/unsere-musterhaeuser/wohnkonzept-best-ager,,,Na,,124.0,,,Cold Facade,,,,,2.3,0,0,0.0,0.0,,,,South,Paneled BIPV Facade,80,,Crystalline,Poly,,Ertex Intevo 2/2,,50,,,,,,placeholder,,,,,,,Spec house,Facade,Unknown,triangle-right,square,Single Residential,180,8,0.0,#c2cb7e
57,Carrara Stadium's,17.0,Weerasinghe et al. Economic Analysis,New Build,2011,2011,Australia,-28.006484,153.367077,Stadium,Unknown,,,0.259,,,,,,,,,0,1760,,215.0,0,1279,0.0,274985.0,,,100.0,Unknown,,,,Crystalline,Mono,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110624,placeholder,0.11,1.46,0.02,,,,,Unknown,Unknown,circle,circle,Stadium,Unknown,22,274985.0,#c2cb7e
58,Farm in Allscwhill,18.0,Swiss BIPV Competence Center,New Build,2011,2011,Switzerland,47.54383402,7.550496129,Agricultural,Unknown,,,,,,Complex,,,,Pitched Roof,,,,,110.08,0,950,0.0,104576.0,,,,Unknown,BAPV Roof,30,,Crystalline,Poly,,KYOCERA KD215GH-2PU,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Industrial,Unknown,22,104576.0,#c2cb7e
59,Hafner Energy Tower,19.0,Weerasinghe et al. Economic Analysis,New Build,2011,2011,Italy,46.476535,11.323533,Office,Unknown,,,0.247,,,,,,,,,0,825,,91.0,0,505,0.0,45955.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110636,placeholder,0.24,2.95,0.001,,,,,Unknown,Unknown,circle,circle,Office,Unknown,14,45955.0,#c2cb7e
60,Residence in St. Gallen,23.0,Weerasinghe et al. Economic Analysis,New Build,2011,2011,Switzerland,47.471589,9.050926,Industrial,Unknown,,,0.235,,,,,,,,,227000,1892,,8.0,51,706,0.0,5648.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110647,placeholder,0.35,2.37,0.02,,,,,Unknown,Unknown,circle,circle,Industrial,Unknown,10,5648.0,#c2cb7e
61,Residence in St. Gallen,23.0,Weerasinghe et al. Economic Analysis,New Build,2011,2011,Switzerland,47.471589,9.050926,Multi Family Residential,Unknown,,,0.235,,,,,,,,,326928,1112,,43.0,294,1160,0.0,49880.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110646,placeholder,0.29,2.37,0.02,,,,,Unknown,Unknown,circle,circle,Multi Residential,Unknown,14,49880.0,#c2cb7e
62,La Cub,6.0,Swiss BIPV Competence Center,New Build,2011,2011,France,44.836099,-0.583462,Office,Unknown,,,,32,Na,,,,,Cold Facade,,,,,,350,0,0.0,0.0,,,,170,Facade BIPV,90,,Crystalline,Poly,,CENIT Design-ISSOL,,0,,,,,,placeholder,,,,,,,Rating is 40 and Generation with roof is 119000,Facade,Unknown,triangle-right,square,Office,170,8,0.0,#c2cb7e
63,La Cub,6.0,Swiss BIPV Competence Center,New Build,2011,2011,France,44.836099,-0.583462,Office,Unknown,,,,32,Na,,,,,Roof,,,,,,900,0,0.0,0.0,,,,Unknown,Roof BAPV,15,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Office,Unknown,8,0.0,#c2cb7e
64,Mercado San Anton,17.0,IEA Case Studies,New Build,2011,2011,Spain,40.422105,-3.69758,Commercial,Unknown,,https://bipv.eurac.edu/en/case-studies/san-anton-market.html,0.21,,,,,,Integrated,Skylight,standard,,1085_AUD/m2,,6.5,168,1184.615385,0.0,7700.0,,,,Unknown,,,laminated,Thin Film,a-Si,,,2536x1147_2668x1147,0,,2,,,,placeholder,0.44,6.0,0.001,,,,,Glazed,Integrated,diamond,diamond,Commerical,Unknown,10,7700.0,#c2cb7e
65,Oversea Residential,19.0,Swiss BIPV Competence Center,New Build,2011,2011,Italy,45.21980994,12.27540333,Multi Family Residential,Unknown,,,,,,,3325.0,,,Accessory System,,,,,20.0,0,750,0.0,15000.0,,,,South,Paneled Facade,90,,Crystalline,Poly,,EnergyGlass,,0,,,,,,placeholder,,,,,,,,Shading,Unknown,triangle-ne,embassy,Multi Residential,180,10,15000.0,#c2cb7e
66,PV Pavilion,11.0,Swiss BIPV Competence Center,New Build,2011,2011,Germany,52.41503227,13.04837254,Showcase,Unknown,,,,,,Box,,,,Warm Facade,,,,,7.6,146,0,0.0,0.0,,,,360,Paneled BIPV Facade,90,,Thin Film,CIS,,Odersun CISCuT,,0,,,,,,placeholder,,,,,,,"builder: fachhochschule potsdam location: potsdam architects: ortner +ortner baukunst year: 2011 module surface: 146qm performance: 195wp/modul building dimensions: 34,85 x 7,35m module size: 3900x 1050x13mm module weight: ca 190kg fixing system: linearly supported, embedded modules in the mounting frame in esg-h panels. electronic concept: low-voltage concept with parallel-connected super cells, serial-connected modules",Facade,Unknown,triangle-right,square,Civic,360,10,0.0,#c2cb7e
67,Stadtwerke Konstanz,19.0,Swiss BIPV Competence Center,New Build,2011,2011,Germany,47.6751468,9.1628074,Office,Unknown,,,,,Na,,,,,Warm Facade,,,,,230.0,230,0,0.0,0.0,,,,South,Glass-glass Facade,90,,Crystalline,Mono,,VSG-ISO,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Office,180,22,0.0,#c2cb7e
68,Unipol Tower,12.0,Swiss BIPV Competence Center,New Build,2011,2011,Italy,44.4960838,11.3912921,Office,Unknown,,,,,,,,,,Cold Facade,,,,,53.0,495,688.7358491,0.0,36503.0,,,,Southwest,Paneled BIPV Facade,90,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Office,225,14,36503.0,#c2cb7e
69,Welios Science Center,21.0,Swiss BIPV Competence Center,New Build,2011,2011,Germany,48.1540878,14.0225456,Civic,Unknown,,,,,,,,,,Glass Roof,,,,,,77,0,0.0,0.0,,,,None,Glass-glass roof,0,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Glazed,Unknown,diamond,diamond,Civic,Unknown,8,0.0,#c2cb7e
70,WSPiA Law and Admin.,20.0,Swiss BIPV Competence Center,New Build,2011,2011,Poland,50.03129536,22.01268563,Academic,Unknown,,,,,,,,,,Variety,,,,,18.0,200,0,0.0,0.0,,,,Unknown,,90,,Crystalline,Poly,,VSG-ISO,,0,,,,,,placeholder,,,,,,,3 Separate Facades,Mixed,Unknown,cross,heart,Institutional,Unknown,10,0.0,#c2cb7e
71,Feldkirch-Tosters Carport,25.0,Swiss BIPV Competence Center,New Build,2010,2010,Austria,47.24152,9.5850961,Carport,Unknown,,,,,,,,,,Glass Roof,,,,,3.1,33,935.483871,0.0,2900.0,,,,roof,Glass-glass Canopy,0,,Crystalline,Mono,,MGT-esys Verbund,,0,,,,,,placeholder,,,,,,,,Glazed,Unknown,diamond,diamond,Mobility,roof,8,2900.0,#c2cb7e
72,CleanTech One,13.0,BIPV SG,New Build,2010,2010,Singapore,1.3550641,103.692296,Office,The CleanTech One is an example of a skylight BIPV where it can harvest up to a capacity of 230kWp.,,,,,,,,,,Skylight,,,,,230.0,0,0,0.0,0.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Glazed,Unknown,diamond,diamond,Office,Unknown,22,0.0,#c2cb7e
73,Community Stable,16.0,Swiss BIPV Competence Center,New Build,2010,2010,Switzerland,47.17883533,7.839041189,Agricultural,Unknown,,,,,,,,,,Pitched Roof,,,,,264.0,1885,946.969697,0.0,250000.0,,,,Unknown,Paneled BIPV Roof,45,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Industrial,Unknown,22,250000.0,#c2cb7e
74,El Centre Del Mon,17.0,Swiss BIPV Competence Center,New Build,2010,2010,France,42.6961416,2.8785469,Civic,Unknown,,,,,Na,,,,,Canopy Roof,,,,,232.0,2800,0,0.0,0.0,,,,Unknown,Glass-glass Canopy,5,,Crystalline,Poly,,Cenit - Issol,,40,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Civic,Unknown,22,0.0,#c2cb7e
75,German Pavilion,15.0,Swiss BIPV Competence Center,New Build,2010,2010,China,31.187059,121.484633,Showcase,Unknown,,,,,Na,,,,,Warm Facade,,,,,16.0,0,0,0.0,0.0,,,,South,Paneled BIPV Facade,90,,Thin Film,a-Si,,Ertex VSG 8/6,,56,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Civic,180,10,0.0,#c2cb7e
76,Heizplan Solar Park,19.0,Swiss BIPV Competence Center,New Build,2010,2010,Switzerland,47.2041653,9.4554146,Industrial,Unknown,,,,,Na,,,,,Cold Facade,,,,,15.275,104,1276.595745,0.0,19500.0,,,,East,Paneled BIPV Facade,90,,Thin Film,CIS,,3S,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Industrial,90,10,19500.0,#c2cb7e
77,Heizplan Solar Park,19.0,Swiss BIPV Competence Center,New Build,2010,2010,Switzerland,47.2041653,9.4554146,Industrial,Unknown,,,,,Na,,,,,Flat Roof,,,,,36.9,248,1000,0.0,36900.0,,,,Unknown,BAPV Roof,20,,Crystalline,Mono,,Schuco,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Industrial,Unknown,14,36900.0,#c2cb7e
78,Heizplan Solar Park,19.0,Swiss BIPV Competence Center,New Build,2010,2010,Switzerland,47.2041653,9.4554146,Industrial,Unknown,,,,,Na,,,,,Cold Facade,,,,,12.925,88,0,0.0,0.0,,,,South,Paneled BIPV Facade,90,,Thin Film,CIS,,Schott Solar,,35,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Industrial,180,10,0.0,#c2cb7e
79,Lauper Pilot,12.0,Swiss BIPV Competence Center,New Build,2010,2010,Switzerland,46.893459,7.441307,Agricultural,Unknown,,,,,,,,,,Pitched Roof,,,,,22.4,166,928.5714286,0.0,20800.0,,,,Unknown,Tiled BIPV Roof,15,,Crystalline,Mono,,Solair France PV Shingles,,45,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Industrial,Unknown,14,20800.0,#c2cb7e
80,Le Albere District,18.0,Swiss BIPV Competence Center,New Build,2010,2010,Italy,46.060109,11.114197,Mixed,Unknown,,,,,,,,,,Pitched Roof,,,,,312.0,5000,0,0.0,0.0,,,,Unknown,Roof BAPV,15,,Crystalline,Poly,,Tedlar high efficiency,,0,,,,,,placeholder,,,,,,,This is a district project,Roof,Unknown,triangle-up,airfield,Mixed,Unknown,22,0.0,#c2cb7e
81,Marina Bay City Gallery,23.0,BIPV SG,New Build,2010,2010,Singapore,1.2802854,103.8564524,Museum,The Marina Bay City Gallery is an example of a skylight BIPV in Singapore.,,,,,,,,,,Canopy,,,,,32.0,0,0,0.0,0.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Canopy,Unknown,star-square,triangle,Civic,Unknown,14,0.0,#c2cb7e
82,Apartment in Raeber,19.0,Swiss BIPV Competence Center,New Build,2010,2010,Switzerland,47.13063281,7.219001493,Multi Family Residential,Unknown,,,,,,,,,,Cold Facade,,,,,,87,0,0.0,6500.0,,,,South West,Paneled BIPV Facade,90,,Crystalline,Poly,,3S Swiss Solar,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Multi Residential,225,8,6500.0,#c2cb7e
83,Apartment in Raeber,19.0,Swiss BIPV Competence Center,New Build,2010,2010,Switzerland,47.13063281,7.219001493,Multi Family Residential,Unknown,,,,,,,,,,Cold Facade,,,,,,13.5,0,0.0,0.0,,,,South,Sloped Thermal Panels,45,,Crystalline,Vacuum Tube,,Meyer Burger,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Multi Residential,180,8,0.0,#c2cb7e
84,Verona Forum,12.0,Swiss BIPV Competence Center,New Build,2010,2010,Italy,45.4126692,10.9702275,Office,Unknown,,https://www.world-architects.com/en/mario-bellini-architects-milano/project/verona-forum,,,,,,,,Double Skin Facade,,,,,20.0,200,1000,0.0,20000.0,,,,East,Paneled BIPV Facade,90,,Crystalline,Mono,,Sunpower,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Office,90,10,20000.0,#c2cb7e
85,Wohnhaus in Watt PV,19.0,Swiss BIPV Competence Center,New Build,2010,2010,Switzerland,47.4473978,8.47312,Multi Family Residential,Unknown,,https://www.kaempfen.com/images/050_buero/052_publikationen-auszeichnungen/Schweizer_Solarpreis_2011_watt.pdf,,31,0.8,,3580.0,,,Pitched Roof,,,,,104.0,740,850,0.0,88400.0,,,,Unknown,Tiled BIPV Roof,10,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Multi Residential,Unknown,22,88400.0,#c2cb7e
86,Tampines Grande,15.0,BIPV SG,New Build,2009,2009,Singapore,1.3555239,103.9415312,Office,The Tampinese Grande buildings are known for the Facade adn Roof BIPV. They have been awarded the LEED Gold Award for their green innovation.,,https://www.bca.gov.sg/GreenMark/others/handbook_for_solar_pv_systems_edited_copy.pdf,,,,,,,Integrated,facade,,,,,107.0,150,0,0.0,0.0,,,,SW,cold facade,90,,Thin Film,a-Si,,Schott Solar,,0,,,,,,tampine_facade_g,,,,Array,x,,,Facade,Integrated,triangle-right,square,Office,225,22,0.0,#c2cb7e
87,Tampines Grande,15.0,BIPV SG,New Build,2009,2009,Singapore,1.3555239,103.9415312,Office,The Tampinese Grande buildings are known for the Facade adn Roof BIPV. They have been awarded the LEED Gold Award for their green innovation.,,https://www.bca.gov.sg/GreenMark/others/handbook_for_solar_pv_systems_edited_copy.pdf,,,,,,,Attached,roof,,,,,101.0,784,0,120000.0,0.0,,,,Unknown,roof bapv,30,,Crystalline,Mono,,Suntech,,0,,,,,,tampine_facade_g,,,,Array,x,,,Roof,Attached,triangle-up,airfield,Office,Unknown,22,120000.0,#c2cb7e
88,BCA Zero Energy,15.0,BIPV SG,Retrofit,2014,2009,Singapore,1.3446136,103.8585818,Office,BCA has PVs retrofitted to its existing buildings. Having installed solar panels in many areas of the building will help the building achieve 100% clean renewable energy.,,https://www.solaripedia.com/13/388/5467/singapore_zero_energy_building_shading_diagram.html,,23,,,,,Mixed,roof_accessory,,,,,190.0,1540,0,0.0,207000.0,,,,Unknown,roof bapv_louvres,,,Mixed,Mixed,,,,0,,,,,,BCA_o,,,,Project,x,,,Roof,Mixed,triangle-up,airfield,Office,Unknown,22,207000.0,#6f462e
89,Delta Zero,10.0,Swiss BIPV Competence Center,New Build,2009,2009,Switzerland,45.9898455,8.9443788,Multi Family Residential,Unknown,,,,,20,,,,,Flat Roof,,,,,20.6,161,1359.223301,0.0,28000.0,,,,Unknown,BAPV Roof,0,,Crystalline,Mono,,Na,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Multi Residential,Unknown,14,28000.0,#c2cb7e
90,Klimahaus Bremerhaven,21.0,Swiss BIPV Competence Center,New Build,2009,2009,Germany,46.9127791,7.6276829,Civic,Unknown,,,,,Na,,,,,Glass Roof,,,,,35.7,511,840.3361345,0.0,30000.0,,,,South,Glass-glass roof,Na,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Glazed,Unknown,diamond,diamond,Civic,180,14,30000.0,#c2cb7e
91,Kusnacht Energy Plus,20.0,Swiss BIPV Competence Center,New Build,2009,2009,Switzerland,47.33221891,8.603185852,Single Family Residential,Unknown,,https://www.solarenergie-zuerisee.ch/solaranlagen/anlagenbeschrieb/,,,208,,,,,Pitched Roof,,,,,21.8,122,1489.449541,0.0,32470.0,,,,Unknown,Tiled BIPV Roof,10,,Crystalline,Mono,,Sunpower,,10,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Single Residential,Unknown,14,32470.0,#c2cb7e
92,Matterhorn Paradise,19.0,Swiss BIPV Competence Center,New Build,2009,2009,Switzerland,45.93910314,7.729431222,Restaurant,Unknown,,,,,100,,,,,Cold Facade,,,,,22.0,170,1681.818182,0.0,37000.0,,,,South,Paneled BIPV Facade,80,,Crystalline,Mono,,3S,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Hospitality,180,14,37000.0,#c2cb7e
93,Monte Rosa Hut,14.0,Swiss BIPV Competence Center,New Build,2009,2009,Switzerland,45.95708667,7.814557442,Hut,Unknown,,,,,100,,,,,Warm Facade,,,,,16.0,110,1312.5,0.0,21000.0,,,,South,Paneled BIPV Facade,80,,Crystalline,Mono,,3S,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Civic,180,10,21000.0,#c2cb7e
94,Piz de Plaies,13.0,Swiss BIPV Competence Center,New Build,2009,2009,Italy,46.69763288,11.92004813,Hotel,Unknown,,,,,,,,,,Accessory System,,,,,7.04,0,1278.409091,0.0,9000.0,,,,Southwest,Canopy BIPV,0,,Crystalline,Poly,,Ertex VSG 10/12,,0,,,,,,placeholder,,,,,,,,Shading,Unknown,triangle-ne,embassy,Hospitality,225,10,9000.0,#c2cb7e
95,Power Grid Control Vienna,25.0,Swiss BIPV Competence Center,New Build,2009,2009,Austria,48.12091562,16.41765345,Office,Unknown,,http://www.bipv.ch/index.php/en/administration-s-en/item/823-powergrid,,,,,,,,Accessory System,,,,,5.0,0,900,0.0,4500.0,,,,South,Roof Solar Control,45,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Shading,Unknown,triangle-ne,embassy,Office,180,8,4500.0,#c2cb7e
96,Rewe Berlin,11.0,Swiss BIPV Competence Center,New Build,2009,2009,Germany,52.4128246,13.4929323,Commercial,Unknown,,,,,,Pavilion,,,,Accessory System,,,,,31.0,400,0,0.0,0.0,,,,Southeast,Canopy BIPV,3,,Crystalline,Poly,,Ertex VSG,,0,,,,,,placeholder,,,,,,,,Shading,Unknown,triangle-ne,embassy,Commerical,135,14,0.0,#c2cb7e
97,Rewe Berlin,11.0,Swiss BIPV Competence Center,New Build,2009,2009,Germany,52.4128246,13.4929323,Commercial,Unknown,,,,,,,,,,Flat Roof,,,,,102.0,1600,0,0.0,0.0,,,,Unknown,BAPV Roof,3,,Crystalline,Poly,,Ertex VSG,,50,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Commerical,Unknown,22,0.0,#c2cb7e
98,Rifugio e Ostello,17.0,Swiss BIPV Competence Center,New Build,2009,2009,Switzerland,46.33473,8.805111,Recreation,Unknown,,https://www.basergamozzetti.ch/node/69,,,,,,,,Flat Roof,,,,,22.0,360,925,0.0,20350.0,,,,Unknown,BIPV Roof,0,,Thin Film,a-Si,,Membrane,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Civic,Unknown,14,20350.0,#c2cb7e
99,Smart Lab,9.0,Weerasinghe et al. Economic Analysis,New Build,2009,2009,Italy,45.904571,11.040819,Institutional,Unknown,,,0.243,,,,,,,,,0,1013,,11.0,0,840,0.0,9240.0,,,,Unknown,,,,Thin Film,a-Si,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110634,placeholder,0.27,3.03,0.001,,,,,Unknown,Unknown,circle,circle,Institutional,Unknown,10,9240.0,#c2cb7e
100,Taiwan National Stadium,23.0,BIPV SG,New Build,2009,2009,Taiwan,22.703036,120.2944946,Stadium,The Taiwan national stadium was made in order for them to carry out football matches and also one of the biggest events they have hosted was the World Games.,,,,,,,,,,Canopy,,,,,1000000.0,0,0,0.0,850000.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Canopy,Unknown,star-square,triangle,Stadium,Unknown,22,850000.0,#c2cb7e
101,V-Zug Logistic Center,21.0,Swiss BIPV Competence Center,New Build,2009,2009,Switzerland,47.1821461,8.5218413,Industrial,Unknown,,,,,,,,,,Cold Facade,,,,,19.25,119.25,0,0.0,0.0,,,,210,Paneled BIPV Facade,90,,Crystalline,Mono,,VSGSunpower,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Industrial,210,10,0.0,#c2cb7e
102,V-Zug Logistic Center,21.0,Swiss BIPV Competence Center,New Build,2009,2009,Switzerland,47.1821461,8.5218413,Industrial,Unknown,,,,,,,,,,Roof,,,,,251.68,1629,962.7304514,0.0,242300.0,,,,Unknown,BAPV Roof,15,,Crystalline,Poly,,Trina Solar Honey,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Industrial,Unknown,22,242300.0,#c2cb7e
103,Beijing Rail Station,20.0,Swiss BIPV Competence Center,New Build,2008,2008,China,39.8645746,116.3787772,Civic,"The Yongdingmen Railway Station was updated after 109 years to incldue modern features, namely a large skylight in the central hall. The edge panels of the skylight feature CIS BIPV cells.",,https://www.bipv.ch/index.php/en/other-s-en/item/1201-beijing-eng,,,Na,,,,Integrated,roof,,,,,390.0,3750,461.5384615,0.0,180000.0,,,,Unknown,skylight,5,,Thin Film,CIS,,Wurth 75,,30,grid,,,,,beijing_rail_o,,,,Project,x,,,Roof,Integrated,triangle-up,airfield,Civic,Unknown,22,180000.0,#c2cb7e
104,BMW Welt,8.0,Swiss BIPV Competence Center,New Build,2008,2008,Germany,48.177016,11.5565994,Civic,BMW Welt hsots a large attached rooftop array that follows the southwest orientation of the slightly sloping roof.,,https://www.bipv.ch/index.php/en/other-s-en/item/603-bmwwelt,,,Na,,,,Attached,roof,,,,,823.5,8000,1783.606557,0.0,1468800.0,,,,Unknown,Roof BAPV,0,,Crystalline,Mono,,Solarwatt M220-60,,0,,,,,,bmw_welt_g,,,,Project,x,,,Roof,Attached,triangle-up,airfield,Civic,Unknown,22,1468800.0,#c2cb7e
105,CA Academy of Science,21.0,Swiss BIPV Competence Center,New Build,2008,2008,USA,37.7698688,-122.4682887,Civic,Unknown,,,,,Na,,,,,Canopy Roof,,,,,190.0,0,1121.052632,0.0,213000.0,,,,Unknown,Canopy BIPV,0,,Crystalline,Mono,,Microcrystall,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Civic,Unknown,22,213000.0,#c2cb7e
106,ENERGYbase,10.0,IEA Case Studies,New Build,2008,2008,Austria,48.268544,16.427198,Office,Constructed in 2008 this new construction facility features two rows of PV and glass elements for each building level. The facade design was optimized to allow for daylight to move throughout the office space from the southern facade., - BIPV should not be evaluated solely on investment cost. - Integrating the BIPV design into the building design process does not necessarily mean you will have to make signifiacnt tradeoffs anywhere in the building. - Details are very significant in the final performance of the facade systems. - More public funding for research should be provided to realize projects like this.,https://bipv.eurac.edu/en/case-studies/energybase-office.html,0.198,,,,,,Integrated Facade,,standard,,2382_AUD/m2,,48.2,400,880,0.0,42416.0,Net-meter,,100.0,180,facade,31.5,lamination,Crystalline,Mono,,,1520x720,0,,1,,No, - general https://iea-pvps.org/key-topics/succesful-building-integration-of-photovoltaics-a-collection-of-international-projects/ - retail rate https://www.statista.com/statistics/596258/electricity-industry-price-austria/,energy_base_g,0.18,3.1,0.01,,,,,Unknown,Integrated,circle,circle,Office,180,14,42416.0,#c2cb7e
107,GreenPix Wall,13.0,Swiss BIPV Competence Center,New Build,2008,2008,China,39.900518,116.283448,Showcase,Unknown,,,,,Na,,,,,Canopy Facade,,,,,,2200,0,0.0,0.0,,,,East,Paneled BIPV Canopy,90,,Crystalline,Poly,,Sunways,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Civic,90,8,0.0,#c2cb7e
108,Greeting to the Sun,19.0,Swiss BIPV Competence Center,New Build,2008,2008,Croatia,44.1175921,15.2198007,Showcase,Unknown,,,,,,,,,,Flat Roof,,,,,15.0,380,0,0.0,0.0,,,,Unknown,Glazed floor,0,,Crystalline,Mono,,VSG 6/12/12 walkable,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Civic,Unknown,10,0.0,#c2cb7e
109,Kraftwerk B,11.0,Swiss BIPV Competence Center,New Build,2008,2008,Switzerland,47.1489943,8.7296636,Multi Family Residential,Unknown,,,,,Na,,,,,Pitched Roof,,,,,32.0,261,1000,0.0,32000.0,,,,Unknown,Paneled BIPV Roof,60,,Crystalline,Mono,,EPV Megaslate,,30,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Multi Residential,Unknown,14,32000.0,#c2cb7e
